Date,Score,Category,Total Time
2025-01-22 22:20:59,20.0/20,CSS,00:00:06
2025-01-22 22:23:33,20.0/20,CSS,00:00:08
2025-01-22 22:25:29,20.0/20,PHP,00:00:07
2025-01-22 22:27:01,20.0/20,Java,00:00:07
2025-01-22 22:33:55,20.0/20,PHP,00:00:05
2025-01-22 22:42:53,20.0/20,JavaScript,00:00:06
2025-01-22 22:46:49,20.0/20,PHP,00:00:05
2025-01-22 22:54:56,2.9/20,JavaScript,00:00:06
2025-01-22 22:54:56,2.9/20,JavaScript,00:00:06
2025-01-22 22:55:32,8.6/20,CSS,00:00:05
2025-01-22 22:55:59,5.7/20,SQL,00:00:05
